   M        Χ²(M)
-21.0000        903589.7696054399
-20.9400        876267.4043145564
-20.8800        849364.9776834772
-20.8200        822882.4897122044
-20.7600        796819.9404007382
-20.7000        771177.3297490756
-20.6400        745954.6577572189
-20.5800        721151.9244251684
-20.5200        696769.1297529247
-20.4600        672806.2737404846
-20.4000        649263.3563878505
-20.3400        626140.3776950226
-20.2800        603437.3376620004
-20.2200        581154.2362887816
-20.1600        559291.0735753701
-20.1000        537847.8495217653
-20.0400        516824.5641279649
-19.9800        496221.2173939695
-19.9200        476037.8093197806
-19.8600        456274.33990539634
-19.8000        436930.8091508183
-19.7400        418007.21705604537
-19.6800        399503.5636210786
-19.6200        381419.84884591773
-19.5600        363756.07273056044
-19.5000        346512.23527501087
-19.4400        329688.33647926676
-19.3800        313284.3763433267
-19.3200        297300.35486719315
-19.2600        281736.2720508657
-19.2000        266592.1278943423
-19.1400        251867.92239762595
-19.0800        237563.65556071396
-19.0200        223679.3273836087
-18.9600        210214.93786630878
-18.9000        197170.48700881389
-18.8400        184545.97481112467
-18.7800        172341.4012732416
-18.7200        160556.76639516355
-18.6600        149192.07017689152
-18.6000        138247.31261842488
-18.5400        127722.49371976317
-18.4800        117617.61348090778
-18.4200        107932.6719018579
-18.3600        98667.668982613
-18.3000        89822.60472317456
-18.2400        81397.47912354121
-18.1800        73392.29218371329
-18.1200        65807.04390369126
-18.0600        58641.73428347427
-18.0000        51896.36332306342
-17.9400        45570.93102245806
-17.8800        39665.43738165794
-17.8200        34179.88240066371
-17.7600        29114.266079475077
-17.7000        24468.588418091684
-17.6400        20242.849416514164
-17.5800        16437.049074741994
-17.5200        13051.187392775622
-17.4600        10085.264370614776
-17.4000        7539.280008259347
-17.3400        5413.234305709634
-17.2800        3707.1272629654773
-17.2200        2420.958880026812
-17.1600        1554.7291568937885
-17.1000        1108.4380935663182
-17.0400        1082.0856900444094
-16.9800        1475.6719463280676
-16.9200        2289.1968624172805
-16.8600        3522.6604383121376
-16.8000        5176.062674012478
-16.7400        7249.403569518371
-16.6800        9742.68312482999
-16.6200        12655.901339947004
-16.5600        15989.058214869603
-16.5000        19742.153749597997
-16.4400        23915.187944131685
-16.3800        28508.16079847123
-16.3200        33521.07231261607
-16.2600        38953.922486566815
-16.2000        44806.71132032268
-16.1400        51079.43881388425
-16.0800        57772.10496725177
-16.0200        64884.70978042447
